alternative_id,borda_rank,mean_score_score,mean_score_rank,mean_rank_score,mean_rank_rank,weighted_rank_sum_score,weighted_rank_sum_rank,copeland_score_proxy,copeland_rank_proxy,csa_score,csa_rank
A60,1,1.0,1,-1.0,1,-1.0,1,-1.0,1,1.0,1
A109,3,0.9020531273911091,3,-4.666666666666667,3,-4.666666666666667,3,-4.666666666666667,3,0.934599805969611,2
A26,4,0.8948114075868469,4,-5.666666666666667,4,-5.666666666666667,4,-5.666666666666667,4,0.9268806033179448,3
A98,2,0.9103046769709128,2,-3.3333333333333335,2,-3.3333333333333335,2,-3.3333333333333335,2,0.903924318580288,4
A8,5,0.8581779018433178,5,-6.0,5,-6.0,5,-6.0,5,0.8807942697107364,5
A51,7,0.830096173477954,7,-10.0,7,-10.0,7,-10.0,7,0.8574187924505255,6
A106,6,0.8408077507247981,6,-7.0,6,-7.0,6,-7.0,6,0.8515088903725834,7
A62,18,0.7725867617291438,13,-19.0,18,-19.0,18,-19.0,18,0.8259749996508866,8
A134,10,0.795490241893296,10,-11.666666666666666,10,-11.666666666666666,10,-11.666666666666666,10,0.8051059634009166,9
A59,28,0.7350937704021411,21,-29.333333333333332,28,-29.333333333333332,28,-29.333333333333332,28,0.8007621801165972,10
A22,9,0.7944822147579575,11,-11.333333333333334,9,-11.333333333333334,9,-11.333333333333334,9,0.7989717172877779,11
A140,8,0.8140880184059722,8,-10.666666666666666,8,-10.666666666666666,8,-10.666666666666666,8,0.797727659276491,12
A92,11,0.781121282644063,12,-13.333333333333334,11,-13.333333333333334,11,-13.333333333333334,11,0.7956941798266496,13
A12,15,0.7644801959985466,15,-16.666666666666668,15,-16.666666666666668,15,-16.666666666666668,15,0.7848220918151535,14
A15,13,0.7592530119411774,17,-16.0,13,-16.0,13,-16.0,13,0.7840414858803422,15
A6,17,0.7537454093971975,18,-18.666666666666668,17,-18.666666666666668,17,-18.666666666666668,17,0.7799544163437309,16
A1,16,0.761301287644469,16,-17.666666666666668,16,-17.666666666666668,16,-17.666666666666668,16,0.774226872607535,17
A63,12,0.8010285735474726,9,-15.333333333333334,12,-15.333333333333334,12,-15.333333333333334,12,0.7727420738468542,18
A76,14,0.7670301150940103,14,-16.333333333333332,14,-16.333333333333332,14,-16.333333333333332,14,0.7722574326606397,19
A119,31,0.6917340236848138,29,-36.333333333333336,31,-36.333333333333336,31,-36.333333333333336,31,0.7658518406407667,20
A48,26,0.7118157440604292,25,-28.333333333333332,26,-28.333333333333332,26,-28.333333333333332,26,0.7584296816538707,21
A102,21,0.728308461325577,22,-24.333333333333332,21,-24.333333333333332,21,-24.333333333333332,21,0.7567397344235562,22
A21,19,0.7413300307653511,19,-22.0,19,-22.0,19,-22.0,19,0.7557034764993458,23
A29,23,0.7228478996925728,23,-26.0,23,-26.0,23,-26.0,23,0.7527331385693219,24
A11,20,0.7354242724853551,20,-23.333333333333332,20,-23.333333333333332,20,-23.333333333333332,20,0.7449197443022004,25
A84,27,0.708527795052078,26,-29.0,27,-29.0,27,-29.0,27,0.7429452166004467,26
A56,24,0.7068194106376872,27,-27.0,24,-27.0,24,-27.0,24,0.7248486934332985,27
A120,43,0.6495091801589742,35,-45.0,43,-45.0,43,-45.0,43,0.7137114094107191,28
A87,30,0.6771569701017216,30,-34.666666666666664,30,-34.666666666666664,30,-34.666666666666664,30,0.7098928591427254,29
A2,22,0.7139977818082844,24,-25.0,22,-25.0,22,-25.0,22,0.7087575045193725,30
A108,32,0.661519976623247,32,-37.666666666666664,32,-37.666666666666664,32,-37.666666666666664,32,0.7005504458814921,31
A131,41,0.6429281217827093,40,-44.333333333333336,41,-44.333333333333336,41,-44.333333333333336,41,0.6999570051794664,32
A83,24,0.7038663129493163,28,-27.0,24,-27.0,24,-27.0,24,0.6972407899431361,33
A91,37,0.6499585914175002,34,-40.0,37,-40.0,37,-40.0,37,0.6903570282633096,34
A136,45,0.6243932399706908,42,-45.666666666666664,45,-45.666666666666664,45,-45.666666666666664,45,0.6684466910291369,35
A16,29,0.6685937717838669,31,-33.0,29,-33.0,29,-33.0,29,0.6683106587769977,36
A55,34,0.6471929237469237,39,-38.0,34,-38.0,34,-38.0,34,0.6644370498680545,37
A67,55,0.588796514632512,55,-57.333333333333336,55,-57.333333333333336,55,-57.333333333333336,55,0.6637174630077276,38
A93,48,0.6141851722859314,48,-49.0,48,-49.0,48,-49.0,48,0.6633763763128938,39
A132,34,0.6508430849006146,33,-38.0,34,-38.0,34,-38.0,34,0.6618456186319149,40
A126,40,0.6210550914491828,45,-44.0,40,-44.0,40,-44.0,40,0.6579116940197934,41
A138,41,0.6233733732085817,43,-44.333333333333336,41,-44.333333333333336,41,-44.333333333333336,41,0.6566777715040594,42
A150,34,0.647278717284029,38,-38.0,34,-38.0,34,-38.0,34,0.655747878975777,43
A115,38,0.6297817772449371,41,-41.333333333333336,38,-41.333333333333336,38,-41.333333333333336,38,0.6546548590109238,44
A74,32,0.6492980172132423,36,-37.666666666666664,32,-37.666666666666664,32,-37.666666666666664,32,0.6535198574358929,45
A144,61,0.566683642045339,61,-62.666666666666664,61,-62.666666666666664,61,-62.666666666666664,61,0.6426317064491336,46
A32,44,0.6216948085195361,44,-45.333333333333336,44,-45.333333333333336,44,-45.333333333333336,44,0.642026640573026,47
A28,39,0.6483120099629444,37,-42.333333333333336,39,-42.333333333333336,39,-42.333333333333336,39,0.6401263415231593,48
A135,54,0.5878525402022227,56,-56.333333333333336,54,-56.333333333333336,54,-56.333333333333336,54,0.634980005163879,49
A100,46,0.616359378261516,47,-47.0,46,-47.0,46,-47.0,46,0.6346642118909465,50
A13,52,0.5938141278094874,52,-54.0,52,-54.0,52,-54.0,52,0.6335367470680195,51
A53,47,0.6178934893260232,46,-47.666666666666664,47,-47.666666666666664,47,-47.666666666666664,47,0.6296240039167891,52
A7,51,0.5948472156606548,51,-53.333333333333336,51,-53.333333333333336,51,-53.333333333333336,51,0.6289308015099219,53
A66,53,0.5911259769034022,53,-55.666666666666664,53,-55.666666666666664,53,-55.666666666666664,53,0.6249541356708324,54
A107,68,0.5483549813236345,70,-67.33333333333333,68,-67.33333333333333,68,-67.33333333333333,68,0.614925029104646,55
A72,59,0.5711099114119892,59,-61.333333333333336,59,-61.333333333333336,59,-61.333333333333336,59,0.6114525278617619,56
A99,49,0.5968448822251456,49,-51.666666666666664,49,-51.666666666666664,49,-51.666666666666664,49,0.6109351785526512,57
A125,63,0.5596369552185769,64,-65.33333333333333,63,-65.33333333333333,63,-65.33333333333333,63,0.610031746396938,58
A123,56,0.5794100587616771,57,-58.333333333333336,56,-58.333333333333336,56,-58.333333333333336,56,0.6097668177809779,59
A33,50,0.5954948094314473,50,-52.0,50,-52.0,50,-52.0,50,0.6084427000991288,60
A82,94,0.49658213926602107,92,-89.0,94,-89.0,94,-89.0,94,0.6049912928992989,61
