SubCode,MainCode,PropOfMain,AbsWeight
S1,C1,0.3636363636363636,0.04
S2,C1,0.2727272727272728,0.03
S3,C1,0.1818181818181818,0.02
S4,C1,0.1818181818181818,0.02
S30,C10,0.38,0.0266
S31,C10,0.3325,0.023275
S32,C10,0.2375,0.016625
S50,C10,0.05,0.003500000000000001
S33,C11,0.4,0.016
S34,C11,0.35,0.014
S35,C11,0.25,0.01
S36,C12,0.45,0.018
S37,C12,0.35,0.014
S38,C12,0.2,0.008
S39,C13,0.4,0.008
S40,C13,0.35,0.006999999999999999
S41,C13,0.25,0.005
S42,C14,0.4,0.004
S43,C14,0.35,0.0035
S44,C14,0.25,0.0025
S5,C2,0.42,0.05039999999999999
S6,C2,0.33,0.0396
S7,C2,0.25,0.03
S10,C3,0.18,0.018
S48,C3,0.05,0.005000000000000001
S53,C3,0.05,0.005000000000000001
S8,C3,0.45,0.04500000000000001
S9,C3,0.27,0.027
S11,C4,0.45,0.0405
S12,C4,0.35,0.0315
S13,C4,0.2,0.018
S14,C5,0.252,0.0252
S15,C5,0.252,0.0252
S16,C5,0.198,0.0198
S17,C5,0.198,0.0198
S45,C5,0.04999999999999999,0.004999999999999999
S52,C5,0.04999999999999999,0.004999999999999999
S18,C6,0.36,0.0288
S19,C6,0.315,0.0252
S20,C6,0.225,0.018
S46,C6,0.05,0.004
S51,C6,0.05,0.004
S21,C7,0.38,0.03800000000000001
S22,C7,0.3325,0.03324999999999999
S23,C7,0.2375,0.02375
S54,C7,0.05,0.005000000000000001
S24,C8,0.36,0.0252
S25,C8,0.315,0.02205
S26,C8,0.225,0.01575
S47,C8,0.05,0.003500000000000001
S49,C8,0.05,0.003500000000000001
S27,C9,0.38,0.019
S28,C9,0.3325,0.016625
S29,C9,0.2375,0.011875
S55,C9,0.05,0.0025
