alternative_id,alternative_label,alternative_domain,alternative_active_flag,notes
A1,A1,defense_inspired,1,
A2,A2,defense_inspired,1,
A3,A3,defense_inspired,1,
A4,A4,defense_inspired,1,
A5,A5,defense_inspired,1,
A6,A6,defense_inspired,1,
A7,A7,defense_inspired,1,
A8,A8,defense_inspired,1,
A9,A9,defense_inspired,1,
A10,A10,defense_inspired,1,
A11,A11,defense_inspired,1,
A12,A12,defense_inspired,1,
A13,A13,defense_inspired,1,
A14,A14,defense_inspired,1,
A15,A15,defense_inspired,1,
A16,A16,defense_inspired,1,
A17,A17,defense_inspired,1,
A18,A18,defense_inspired,1,
A19,A19,defense_inspired,1,
A20,A20,defense_inspired,1,
A21,A21,defense_inspired,1,
A22,A22,defense_inspired,1,
A23,A23,defense_inspired,1,
A24,A24,defense_inspired,1,
A25,A25,defense_inspired,1,
A26,A26,defense_inspired,1,
A27,A27,defense_inspired,1,
A28,A28,defense_inspired,1,
A29,A29,defense_inspired,1,
A30,A30,defense_inspired,1,
A31,A31,defense_inspired,1,
A32,A32,defense_inspired,1,
A33,A33,defense_inspired,1,
A34,A34,defense_inspired,1,
A35,A35,defense_inspired,1,
A36,A36,defense_inspired,1,
A37,A37,defense_inspired,1,
A38,A38,defense_inspired,1,
A39,A39,defense_inspired,1,
A40,A40,defense_inspired,1,
A41,A41,defense_inspired,1,
A42,A42,defense_inspired,1,
A43,A43,defense_inspired,1,
A44,A44,defense_inspired,1,
A45,A45,defense_inspired,1,
A46,A46,defense_inspired,1,
A47,A47,defense_inspired,1,
A48,A48,defense_inspired,1,
A49,A49,defense_inspired,1,
A50,A50,defense_inspired,1,
A51,A51,defense_inspired,1,
A52,A52,defense_inspired,1,
A53,A53,defense_inspired,1,
A54,A54,defense_inspired,1,
A55,A55,defense_inspired,1,
A56,A56,defense_inspired,1,
A57,A57,defense_inspired,1,
A58,A58,defense_inspired,1,
A59,A59,defense_inspired,1,
A60,A60,defense_inspired,1,
A61,A61,defense_inspired,1,
A62,A62,defense_inspired,1,
A63,A63,defense_inspired,1,
A64,A64,defense_inspired,1,
A65,A65,defense_inspired,1,
A66,A66,defense_inspired,1,
A67,A67,defense_inspired,1,
A68,A68,defense_inspired,1,
A69,A69,defense_inspired,1,
A70,A70,defense_inspired,1,
A71,A71,defense_inspired,1,
A72,A72,defense_inspired,1,
A73,A73,defense_inspired,1,
A74,A74,defense_inspired,1,
A75,A75,defense_inspired,1,
A76,A76,defense_inspired,1,
A77,A77,defense_inspired,1,
A78,A78,defense_inspired,1,
A79,A79,defense_inspired,1,
A80,A80,defense_inspired,1,
A81,A81,defense_inspired,1,
A82,A82,defense_inspired,1,
A83,A83,defense_inspired,1,
A84,A84,defense_inspired,1,
A85,A85,defense_inspired,1,
A86,A86,defense_inspired,1,
A87,A87,defense_inspired,1,
A88,A88,defense_inspired,1,
A89,A89,defense_inspired,1,
A90,A90,defense_inspired,1,
A91,A91,defense_inspired,1,
A92,A92,defense_inspired,1,
A93,A93,defense_inspired,1,
A94,A94,defense_inspired,1,
A95,A95,defense_inspired,1,
A96,A96,defense_inspired,1,
A97,A97,defense_inspired,1,
A98,A98,defense_inspired,1,
A99,A99,defense_inspired,1,
A100,A100,defense_inspired,1,
A101,A101,defense_inspired,1,
A102,A102,defense_inspired,1,
A103,A103,defense_inspired,1,
A104,A104,defense_inspired,1,
A105,A105,defense_inspired,1,
A106,A106,defense_inspired,1,
A107,A107,defense_inspired,1,
A108,A108,defense_inspired,1,
A109,A109,defense_inspired,1,
A110,A110,defense_inspired,1,
A111,A111,defense_inspired,1,
A112,A112,defense_inspired,1,
A113,A113,defense_inspired,1,
A114,A114,defense_inspired,1,
A115,A115,defense_inspired,1,
A116,A116,defense_inspired,1,
A117,A117,defense_inspired,1,
A118,A118,defense_inspired,1,
A119,A119,defense_inspired,1,
A120,A120,defense_inspired,1,
A121,A121,defense_inspired,1,
A122,A122,defense_inspired,1,
A123,A123,defense_inspired,1,
A124,A124,defense_inspired,1,
A125,A125,defense_inspired,1,
A126,A126,defense_inspired,1,
A127,A127,defense_inspired,1,
A128,A128,defense_inspired,1,
A129,A129,defense_inspired,1,
A130,A130,defense_inspired,1,
A131,A131,defense_inspired,1,
A132,A132,defense_inspired,1,
A133,A133,defense_inspired,1,
A134,A134,defense_inspired,1,
A135,A135,defense_inspired,1,
A136,A136,defense_inspired,1,
A137,A137,defense_inspired,1,
A138,A138,defense_inspired,1,
A139,A139,defense_inspired,1,
A140,A140,defense_inspired,1,
A141,A141,defense_inspired,1,
A142,A142,defense_inspired,1,
A143,A143,defense_inspired,1,
A144,A144,defense_inspired,1,
A145,A145,defense_inspired,1,
A146,A146,defense_inspired,1,
A147,A147,defense_inspired,1,
A148,A148,defense_inspired,1,
A149,A149,defense_inspired,1,
A150,A150,defense_inspired,1,
A151,A151,defense_inspired,1,
