sub_code,sub_name,parent_main_code,share_within_main,absolute_weight,criterion_direction,cross_cutting_flag,assignment_rule,is_final_frozen
S1,S1,C1,0.3636363636363636,0.04,benefit,0,direct_parent_from_workbook,1
S2,S2,C1,0.2727272727272728,0.03,benefit,0,direct_parent_from_workbook,1
S3,S3,C1,0.1818181818181818,0.02,benefit,0,direct_parent_from_workbook,1
S4,S4,C1,0.1818181818181818,0.02,benefit,0,direct_parent_from_workbook,1
S30,S30,C10,0.38,0.0266,benefit,0,direct_parent_from_workbook,1
S31,S31,C10,0.3325,0.023275,benefit,0,direct_parent_from_workbook,1
S32,S32,C10,0.2375,0.016625,benefit,0,direct_parent_from_workbook,1
S50,S50,C10,0.05,0.003500000000000001,benefit,1,dominant_parent_frozen_from_workbook,1
S33,S33,C11,0.4,0.016,benefit,0,direct_parent_from_workbook,1
S34,S34,C11,0.35,0.014,benefit,0,direct_parent_from_workbook,1
S35,S35,C11,0.25,0.01,benefit,0,direct_parent_from_workbook,1
S36,S36,C12,0.45,0.018,benefit,0,direct_parent_from_workbook,1
S37,S37,C12,0.35,0.014,benefit,0,direct_parent_from_workbook,1
S38,S38,C12,0.2,0.008,benefit,0,direct_parent_from_workbook,1
S39,S39,C13,0.4,0.008,benefit,0,direct_parent_from_workbook,1
S40,S40,C13,0.35,0.006999999999999999,benefit,0,direct_parent_from_workbook,1
S41,S41,C13,0.25,0.005,benefit,0,direct_parent_from_workbook,1
S42,S42,C14,0.4,0.004,benefit,0,direct_parent_from_workbook,1
S43,S43,C14,0.35,0.0035,benefit,0,direct_parent_from_workbook,1
S44,S44,C14,0.25,0.0025,benefit,0,direct_parent_from_workbook,1
S5,S5,C2,0.42,0.05039999999999999,benefit,0,direct_parent_from_workbook,1
S6,S6,C2,0.33,0.0396,benefit,0,direct_parent_from_workbook,1
S7,S7,C2,0.25,0.03,benefit,0,direct_parent_from_workbook,1
S10,S10,C3,0.18,0.018,benefit,0,direct_parent_from_workbook,1
S48,S48,C3,0.05,0.005000000000000001,benefit,1,dominant_parent_frozen_from_workbook,1
S53,S53,C3,0.05,0.005000000000000001,benefit,1,dominant_parent_frozen_from_workbook,1
S8,S8,C3,0.45,0.04500000000000001,benefit,0,direct_parent_from_workbook,1
S9,S9,C3,0.27,0.027,benefit,0,direct_parent_from_workbook,1
S11,S11,C4,0.45,0.0405,benefit,0,direct_parent_from_workbook,1
S12,S12,C4,0.35,0.0315,benefit,0,direct_parent_from_workbook,1
S13,S13,C4,0.2,0.018,benefit,0,direct_parent_from_workbook,1
S14,S14,C5,0.252,0.0252,benefit,0,direct_parent_from_workbook,1
S15,S15,C5,0.252,0.0252,benefit,0,direct_parent_from_workbook,1
S16,S16,C5,0.198,0.0198,benefit,0,direct_parent_from_workbook,1
S17,S17,C5,0.198,0.0198,benefit,0,direct_parent_from_workbook,1
S45,S45,C5,0.04999999999999999,0.004999999999999999,benefit,1,dominant_parent_frozen_from_workbook,1
S52,S52,C5,0.04999999999999999,0.004999999999999999,benefit,1,dominant_parent_frozen_from_workbook,1
S18,S18,C6,0.36,0.0288,benefit,0,direct_parent_from_workbook,1
S19,S19,C6,0.315,0.0252,benefit,0,direct_parent_from_workbook,1
S20,S20,C6,0.225,0.018,benefit,0,direct_parent_from_workbook,1
S46,S46,C6,0.05,0.004,benefit,1,dominant_parent_frozen_from_workbook,1
S51,S51,C6,0.05,0.004,benefit,1,dominant_parent_frozen_from_workbook,1
S21,S21,C7,0.38,0.03800000000000001,benefit,0,direct_parent_from_workbook,1
S22,S22,C7,0.3325,0.03324999999999999,benefit,0,direct_parent_from_workbook,1
S23,S23,C7,0.2375,0.02375,benefit,0,direct_parent_from_workbook,1
S54,S54,C7,0.05,0.005000000000000001,benefit,1,dominant_parent_frozen_from_workbook,1
S24,S24,C8,0.36,0.0252,benefit,0,direct_parent_from_workbook,1
S25,S25,C8,0.315,0.02205,benefit,0,direct_parent_from_workbook,1
S26,S26,C8,0.225,0.01575,benefit,0,direct_parent_from_workbook,1
S47,S47,C8,0.05,0.003500000000000001,benefit,1,dominant_parent_frozen_from_workbook,1
S49,S49,C8,0.05,0.003500000000000001,benefit,1,dominant_parent_frozen_from_workbook,1
S27,S27,C9,0.38,0.019,benefit,0,direct_parent_from_workbook,1
S28,S28,C9,0.3325,0.016625,benefit,0,direct_parent_from_workbook,1
S29,S29,C9,0.2375,0.011875,benefit,0,direct_parent_from_workbook,1
S55,S55,C9,0.05,0.0025,benefit,1,dominant_parent_frozen_from_workbook,1
